VARIABLES="r/R","alphaE","CL","CN","CQ","localMach","localRe"
ZONE T="Rotor1_Blade1_0, t=0.000000"
1.871882e-01	1.512266e+01	5.659713e-01	5.762952e-01	4.081713e-02	1.336594e-01	2.340740e+06
2.533600e-01	1.344198e+01	9.912393e-01	9.713221e-01	5.645750e-02	1.765601e-01	3.092048e+06
3.189192e-01	1.149437e+01	9.865758e-01	9.659741e-01	6.153360e-02	2.190699e-01	3.836509e+06
3.834616e-01	9.680580e+00	9.191826e-01	9.006307e-01	6.110522e-02	2.609236e-01	4.569482e+06
4.465893e-01	8.189505e+00	8.417643e-01	8.254680e-01	5.689256e-02	3.018619e-01	5.286423e+06
5.079131e-01	6.981638e+00	7.639477e-01	7.502242e-01	5.234081e-02	3.416317e-01	5.982900e+06
5.670549e-01	6.080970e+00	6.851715e-01	6.742603e-01	4.972649e-02	3.799873e-01	6.654611e+06
6.236501e-01	5.308617e+00	6.181604e-01	6.092558e-01	4.549672e-02	4.166920e-01	7.297409e+06
6.773497e-01	4.630358e+00	5.620229e-01	5.546500e-01	4.092724e-02	4.515192e-01	7.907329e+06
7.278227e-01	4.062344e+00	5.123496e-01	5.062082e-01	3.626440e-02	4.842542e-01	8.480607e+06
7.747579e-01	3.585173e+00	4.676386e-01	4.625581e-01	3.261809e-02	5.146949e-01	9.013707e+06
8.178659e-01	3.182646e+00	4.269699e-01	4.227870e-01	2.986234e-02	5.426536e-01	9.503340e+06
8.568810e-01	2.832652e+00	3.896574e-01	3.862163e-01	2.770660e-02	5.679579e-01	9.946486e+06
8.915625e-01	2.519767e+00	3.544613e-01	3.516350e-01	2.601290e-02	5.904516e-01	1.034041e+07
9.216968e-01	2.224367e+00	3.198191e-01	3.174999e-01	2.437451e-02	6.099961e-01	1.068269e+07
9.470979e-01	1.900931e+00	2.840179e-01	2.821432e-01	2.310656e-02	6.264709e-01	1.097121e+07
9.676094e-01	1.562457e+00	2.437760e-01	2.423016e-01	2.147772e-02	6.397743e-01	1.120419e+07
9.831046e-01	1.212406e+00	1.966667e-01	1.955708e-01	1.906399e-02	6.498243e-01	1.138019e+07
9.934882e-01	8.497778e-01	1.417473e-01	1.410282e-01	1.569528e-02	6.565589e-01	1.149813e+07
9.986960e-01	4.925988e-01	8.340490e-02	8.306017e-02	1.185199e-02	6.599366e-01	1.155728e+07
VARIABLES="r/R","alphaE","CL","CN","CQ","localMach","localRe"
ZONE T="Rotor1_Blade1_1, t=0.000000"
1.871882e-01	1.453735e+01	4.902050e-01	5.015305e-01	3.375504e-02	1.116115e-01	1.954622e+06
2.533600e-01	1.249699e+01	8.117490e-01	8.035692e-01	4.674479e-02	1.545193e-01	2.706053e+06
3.189192e-01	1.004824e+01	8.114267e-01	8.010949e-01	4.928851e-02	1.970446e-01	3.450786e+06
3.834616e-01	8.085675e+00	7.375219e-01	7.282829e-01	4.737259e-02	2.389173e-01	4.184091e+06
4.465893e-01	6.575130e+00	6.530803e-01	6.454528e-01	4.349636e-02	2.798760e-01	4.901389e+06
5.079131e-01	5.437436e+00	5.693099e-01	5.634845e-01	4.012578e-02	3.196665e-01	5.598230e+06
5.670549e-01	4.531267e+00	4.953924e-01	4.909625e-01	3.624563e-02	3.580428e-01	6.270302e+06
6.236501e-01	3.804247e+00	4.308634e-01	4.275230e-01	3.239946e-02	3.947675e-01	6.913453e+06
6.773497e-01	3.201840e+00	3.754301e-01	3.729178e-01	2.872183e-02	4.296141e-01	7.523711e+06
7.278227e-01	2.698974e+00	3.275021e-01	3.256297e-01	2.550486e-02	4.623673e-01	8.097309e+06
7.747579e-01	2.279756e+00	2.856546e-01	2.842795e-01	2.285202e-02	4.928251e-01	8.630708e+06
8.178659e-01	1.926620e+00	2.490289e-01	2.480330e-01	2.064390e-02	5.207996e-01	9.120617e+06
8.568810e-01	1.629588e+00	2.167071e-01	2.159958e-01	1.873611e-02	5.461181e-01	9.564013e+06
8.915625e-01	1.378568e+00	1.878713e-01	1.873743e-01	1.711297e-02	5.686246e-01	9.958163e+06
9.216968e-01	1.162496e+00	1.617075e-01	1.613716e-01	1.569638e-02	5.881802e-01	1.030063e+07
9.470979e-01	9.695307e-01	1.372932e-01	1.370819e-01	1.447559e-02	6.046642e-01	1.058931e+07
9.676094e-01	7.815089e-01	1.136312e-01	1.135176e-01	1.331399e-02	6.179752e-01	1.082243e+07
9.831046e-01	5.974229e-01	8.936652e-02	8.933210e-02	1.205327e-02	6.280309e-01	1.099853e+07
9.934882e-01	4.148811e-01	6.347002e-02	6.350514e-02	1.066535e-02	6.347693e-01	1.111654e+07
9.986960e-01	2.394595e-01	3.710544e-02	3.720406e-02	9.274922e-03	6.381489e-01	1.117572e+07
VARIABLES="r/R","alphaE","CL","CN","CQ","localMach","localRe"
ZONE T="Rotor1_Blade1_0, t=0.002646"
1.871882e-01	9.669547e+00	6.427192e-01	6.326418e-01	2.587563e-02	1.442550e-01	2.526298e+06
2.533600e-01	5.478536e+00	4.497567e-01	4.414144e-01	1.660624e-02	1.871615e-01	3.277707e+06
3.189192e-01	4.617784e+00	4.258835e-01	4.179423e-01	1.546469e-02	2.296759e-01	4.022250e+06
3.834616e-01	4.095873e+00	4.076523e-01	4.004461e-01	1.478124e-02	2.715338e-01	4.755295e+06
4.465893e-01	3.687848e+00	3.875094e-01	3.811981e-01	1.411879e-02	3.124759e-01	5.472303e+06
