TITLE="Integrated loads convergence history"
VARIABLES="R-time", "P-Time", "Fn_x", "Fn_y", "Fn_z", "Mn_x", "Mn_y", "Mn_z", "Ft_x", "Ft_y", "Ft_z", "Mt_x", "Mt_y", "Mt_z"
ZONE T="WALL"
      1     10  0.48408876E-04  0.36224807E-02  0.85867939E-02  0.33039018E-03  0.14708770E-01 -0.62275605E-02  0.12968503E-03  0.19062965E-02 -0.26264690E-03 -0.50676173E-08 -0.45694444E-03 -0.33219551E-02
      1     10  0.48408908E-04  0.36224803E-02  0.85867946E-02  0.33039019E-03  0.14708772E-01 -0.62275599E-02  0.12968506E-03  0.19062964E-02 -0.26264679E-03 -0.50510078E-08 -0.45694428E-03 -0.33219548E-02
      1     20  0.24620028E-04  0.36273382E-02  0.86418348E-02  0.33266867E-03  0.14809718E-01 -0.62370717E-02  0.93588258E-04  0.13996700E-02 -0.19177013E-03  0.23066347E-06 -0.33380690E-03 -0.24384247E-02
      1     10  0.48407077E-04  0.36224810E-02  0.85867947E-02  0.33039024E-03  0.14708772E-01 -0.62275611E-02  0.12968486E-03  0.19062965E-02 -0.26264633E-03 -0.50012127E-08 -0.45694353E-03 -0.33219550E-02
      1     20  0.24620435E-04  0.36273400E-02  0.86418386E-02  0.33266900E-03  0.14809725E-01 -0.62370751E-02  0.93586949E-04  0.13996620E-02 -0.19176760E-03  0.23084855E-06 -0.33380262E-03 -0.24384105E-02
      1     30  0.20944119E-04  0.36075322E-02  0.86475619E-02  0.33292788E-03  0.14820357E-01 -0.62034418E-02  0.72564073E-04  0.10997599E-02 -0.14986758E-03  0.32531609E-06 -0.26099327E-03 -0.19153312E-02
      1     40  0.18181521E-04  0.35643281E-02  0.86421612E-02  0.33276262E-03  0.14811054E-01 -0.61299184E-02  0.59023764E-04  0.91079207E-03 -0.12329756E-03  0.36790140E-06 -0.21478917E-03 -0.15858077E-02
      1     50  0.14987115E-04  0.34861018E-02  0.86262246E-02  0.33222777E-03  0.14783783E-01 -0.59970307E-02  0.49755681E-04  0.78485519E-03 -0.10557808E-03  0.38306931E-06 -0.18395665E-03 -0.13662700E-02
      1     60  0.11811296E-04  0.33557894E-02  0.85835409E-02  0.33065170E-03  0.14710916E-01 -0.57756717E-02  0.43170973E-04  0.69608027E-03 -0.93249357E-04  0.37637328E-06 -0.16249565E-03 -0.12115753E-02
      1     70  0.79175542E-05  0.31585610E-02  0.84801139E-02  0.32640566E-03  0.14535005E-01 -0.54403972E-02  0.37970636E-04  0.63018000E-03 -0.84407355E-04  0.34688931E-06 -0.14709235E-03 -0.10967644E-02
