TITLE="Integrated loads convergence history"
VARIABLES="R-time", "P-Time", "Fn_x", "Fn_y", "Fn_z", "Mn_x", "Mn_y", "Mn_z", "Ft_x", "Ft_y", "Ft_z", "Mt_x", "Mt_y", "Mt_z"
ZONE T="WALL"
      1     10  0.36209846E-02  0.48352573E-04  0.85757173E-02 -0.58156553E-02 -0.92059755E-02  0.25275752E-02  0.19076054E-02  0.12971722E-03 -0.25464067E-03  0.18101943E-03  0.26418395E-03  0.14838882E-02
      1     10  0.36209841E-02  0.48352597E-04  0.85757174E-02 -0.58156553E-02 -0.92059756E-02  0.25275749E-02  0.19076052E-02  0.12971725E-03 -0.25464066E-03  0.18101943E-03  0.26418394E-03  0.14838881E-02
      1     20  0.36260469E-02  0.24583000E-04  0.86325828E-02 -0.58602430E-02 -0.92671501E-02  0.25074969E-02  0.14002156E-02  0.93558641E-04 -0.18906631E-03  0.13409657E-03  0.19604668E-03  0.10868735E-02
      1     10  0.36209847E-02  0.48351946E-04  0.85757167E-02 -0.58156548E-02 -0.92059748E-02  0.25275747E-02  0.19076052E-02  0.12971715E-03 -0.25464067E-03  0.18101942E-03  0.26418395E-03  0.14838880E-02
      1     20  0.36260470E-02  0.24582894E-04  0.86325781E-02 -0.58602397E-02 -0.92671447E-02  0.25074971E-02  0.14002106E-02  0.93558085E-04 -0.18906579E-03  0.13409620E-03  0.19604615E-03  0.10868695E-02
      1     30  0.36065891E-02  0.20917256E-04  0.86408219E-02 -0.58663248E-02 -0.92760248E-02  0.24907628E-02  0.10998433E-02  0.72483021E-04 -0.15025024E-03  0.10633484E-03  0.15577684E-03  0.85211652E-03
      1     40  0.35636226E-02  0.18171110E-04  0.86371592E-02 -0.58635883E-02 -0.92721325E-02  0.24592483E-02  0.91060518E-03  0.58876143E-04 -0.12548443E-03  0.88620726E-04  0.13010484E-03  0.70393999E-03
      1     50  0.34855258E-02  0.14980186E-04  0.86222218E-02 -0.58533897E-02 -0.92561821E-02  0.24040994E-02  0.78452456E-03  0.49477197E-04 -0.10882429E-03  0.76710531E-04  0.11284796E-03  0.60493988E-03
      1     60  0.33552704E-02  0.11795956E-04  0.85800355E-02 -0.58250305E-02 -0.92109843E-02  0.23143605E-02  0.69569116E-03  0.42540350E-04 -0.97085847E-04  0.68330481E-04  0.10070014E-03  0.53491188E-03
      1     70  0.31579573E-02  0.78827554E-05  0.84764149E-02 -0.57560704E-02 -0.90995302E-02  0.21791141E-02  0.62977518E-03  0.37283365E-04 -0.88544948E-04  0.62241072E-04  0.91877968E-04  0.48286594E-03
      1     80  0.28851855E-02  0.32012871E-05  0.82587242E-02 -0.56125388E-02 -0.88644808E-02  0.19925309E-02  0.57864625E-03  0.33293513E-04 -0.82379459E-04  0.57839122E-04  0.85540876E-04  0.44259848E-03
      1     90  0.25411322E-02 -0.49420104E-06  0.78752883E-02 -0.53596329E-02 -0.84492872E-02  0.17592904E-02  0.53755115E-03  0.30068924E-04 -0.77721368E-04  0.54543762E-04  0.80774477E-04  0.41020817E-03
      1    100  0.21441823E-02 -0.29815733E-05  0.73331750E-02 -0.50032016E-02 -0.78602787E-02  0.14925463E-02  0.50357049E-03  0.27530222E-04 -0.73541830E-04  0.51590817E-04  0.76480470E-04  0.38354717E-03
      2     10  0.17214313E-02 -0.35294497E-04  0.66734287E-02 -0.45756466E-02 -0.70611817E-02  0.11792572E-02  0.47512054E-03  0.17309832E-04 -0.69816702E-04  0.48947379E-04  0.71794316E-04  0.35256799E-03
      2     20  0.88453265E-03 -0.26482813E-04  0.51796058E-02 -0.36019862E-02 -0.54426469E-02  0.63983819E-03  0.42539575E-03  0.13959043E-04 -0.62884737E-04  0.44036944E-04  0.64718197E-04  0.31382852E-03
      2     30  0.65456214E-04 -0.25222558E-04  0.37028731E-02 -0.26394933E-02 -0.38359447E-02  0.96514860E-04  0.35855150E-03  0.11000814E-04 -0.52095765E-04  0.36444488E-04  0.53586569E-04  0.26332257E-03
