TITLE="Integrated loads convergence history"
VARIABLES="R-time", "P-Time", "Fn_x", "Fn_y", "Fn_z", "Mn_x", "Mn_y", "Mn_z", "Ft_x", "Ft_y", "Ft_z", "Mt_x", "Mt_y", "Mt_z"
ZONE T="WALL"
      1     30 -0.36066023E-02 -0.20916412E-04  0.86408387E-02  0.58663356E-02 -0.86104936E-02  0.24474736E-02 -0.10999418E-02 -0.72534557E-04 -0.15026871E-03 -0.10634866E-03  0.15526062E-03  0.70209926E-03
      1     40 -0.35637116E-02 -0.18169263E-04  0.86372892E-02  0.58636700E-02 -0.86069214E-02  0.24216912E-02 -0.91068416E-03 -0.58922016E-04 -0.12549887E-03 -0.88631706E-04  0.12966306E-03  0.58208179E-03
      1     50 -0.34858246E-02 -0.14976139E-04  0.86228177E-02  0.58537732E-02 -0.85924279E-02  0.23732851E-02 -0.78457361E-03 -0.49522142E-04 -0.10883567E-03 -0.76719107E-04  0.11242993E-03  0.50251739E-03
      1     60 -0.33555388E-02 -0.11787829E-04  0.85799669E-02  0.58249911E-02 -0.85496579E-02  0.22901212E-02 -0.69572457E-03 -0.42599880E-04 -0.97102471E-04 -0.68342302E-04  0.10028396E-03  0.44682286E-03
      1     70 -0.31590911E-02 -0.78674332E-05  0.84752630E-02  0.57553543E-02 -0.84455739E-02  0.21635515E-02 -0.62980630E-03 -0.37329823E-04 -0.88561676E-04 -0.62252670E-04  0.91426207E-04  0.40567035E-03
      1     80 -0.28890484E-02 -0.31792094E-05  0.82567288E-02  0.56113032E-02 -0.82292051E-02  0.19885355E-02 -0.57867644E-03 -0.33304990E-04 -0.82398074E-04 -0.57852319E-04  0.85002495E-04  0.37369697E-03
      1     90 -0.25470862E-02  0.51317268E-06  0.78729155E-02  0.53581614E-02 -0.78503498E-02  0.17644631E-02 -0.53757155E-03 -0.30080238E-04 -0.77732561E-04 -0.54552107E-04  0.80119232E-04  0.34797470E-03
      1    100 -0.21511443E-02  0.29876845E-05  0.73311022E-02  0.50019559E-02 -0.73175389E-02  0.15035794E-02 -0.50358467E-03 -0.27575107E-04 -0.73546943E-04 -0.51594956E-04  0.75755667E-04  0.32653033E-03
      2     10 -0.17293058E-02  0.35424513E-04  0.66718111E-02  0.45747142E-02 -0.67514404E-02  0.12579527E-02 -0.47513066E-03 -0.17376504E-04 -0.69818863E-04 -0.48949928E-04  0.72728088E-04  0.31668160E-03
      2     20 -0.89307110E-03  0.26612356E-04  0.51794698E-02  0.36022086E-02 -0.52792874E-02  0.70084076E-03 -0.42539743E-03 -0.14120014E-04 -0.62878876E-04 -0.44034617E-04  0.65447626E-04  0.28477572E-03
      2     30 -0.70710013E-04  0.25264699E-04  0.37050757E-02  0.26410726E-02 -0.38312551E-02  0.15248919E-03 -0.35855494E-03 -0.11182461E-04 -0.52074663E-04 -0.36432664E-04  0.54231711E-04  0.24037320E-03
      2     40 -0.16882619E-03  0.37420515E-04  0.33382547E-02  0.24011256E-02 -0.34737009E-02  0.20663181E-03 -0.30856076E-03 -0.96285677E-05 -0.44720269E-04 -0.31249698E-04  0.46562919E-04  0.20683996E-03
      2     50 -0.33757283E-03  0.43217621E-04  0.32864658E-02  0.23614734E-02 -0.34222372E-02  0.31563874E-03 -0.27388888E-03 -0.69336492E-05 -0.39883449E-04 -0.27849428E-04  0.41507567E-04  0.18534326E-03
      3     10 -0.34408885E-03  0.51176291E-04  0.32736524E-02  0.23510129E-02 -0.34502316E-02  0.32890845E-03 -0.26838346E-03 -0.21658304E-05 -0.39133653E-04 -0.27315475E-04  0.41199919E-04  0.18637431E-03
      3     20 -0.29106344E-03  0.51279048E-04  0.30287615E-02  0.21881258E-02 -0.32044883E-02  0.29455368E-03 -0.25668821E-03 -0.18630780E-05 -0.38221159E-04 -0.26648998E-04  0.40188292E-04  0.17847407E-03
      3     30 -0.13341640E-03  0.47800805E-04  0.21722273E-02  0.16261081E-02 -0.23470660E-02  0.17491046E-03 -0.23701319E-03 -0.11097149E-05 -0.34938649E-04 -0.24362704E-04  0.36743109E-04  0.16536547E-03
      3     40 -0.93221935E-04  0.50342033E-04  0.20532676E-02  0.15511489E-02 -0.22263889E-02  0.14074815E-03 -0.21785524E-03 -0.72201203E-06 -0.32086772E-04 -0.22365951E-04  0.33739627E-04  0.15229808E-03
      3     50 -0.93640966E-04  0.53597752E-04  0.20460167E-02  0.15433235E-02 -0.22162076E-02  0.14625088E-03 -0.20229676E-03 -0.56605055E-06 -0.29816428E-04 -0.20775668E-04  0.31346510E-04  0.14153467E-03
      4     10 -0.93050357E-04  0.56133288E-04  0.20494733E-02  0.15431783E-02 -0.22459725E-02  0.14959580E-03 -0.19963726E-03  0.30692394E-05 -0.29428966E-04 -0.20491559E-04  0.31296045E-04  0.14344440E-03
      4     20 -0.83968397E-04  0.56736930E-04  0.19599563E-02  0.14834988E-02 -0.21528699E-02  0.14363571E-03 -0.19406402E-03  0.33717532E-05 -0.29008822E-04 -0.20189431E-04  0.30831285E-04  0.13984124E-03
      4     30 -0.33969187E-04  0.55304053E-04  0.15080019E-02  0.11845478E-02 -0.16902062E-02  0.99361135E-04 -0.18410674E-03  0.37342453E-05 -0.27287242E-04 -0.18985033E-04  0.29002073E-04  0.13321890E-03
      4     40 -0.25884879E-05  0.55021353E-04  0.14931812E-02  0.11768812E-02 -0.16711913E-02  0.74066230E-04 -0.17358518E-03  0.40425181E-05 -0.25713734E-04 -0.17877726E-04  0.27324621E-04  0.12614412E-03
      4     50  0.62862434E-05  0.55475233E-04  0.14988477E-02  0.11805443E-02 -0.16745485E-02  0.69612466E-04 -0.16452214E-03  0.42598354E-05 -0.24428520E-04 -0.16971133E-04  0.25947436E-04  0.12000935E-03
      5     10  0.77741794E-05  0.55530130E-04  0.14993622E-02  0.11782359E-02 -0.16953186E-02  0.69412646E-04 -0.16283965E-03  0.71239536E-05 -0.24204179E-04 -0.16798250E-04  0.26000376E-04  0.12186231E-03
      5     20  0.12685850E-04  0.55487562E-04  0.14559418E-02  0.11482957E-02 -0.16486854E-02  0.65175243E-04 -0.15947217E-03  0.70814168E-05 -0.23934659E-04 -0.16609041E-04  0.25702591E-04  0.11945376E-03
      5     30  0.30765702E-04  0.54316724E-04  0.12698574E-02  0.10217982E-02 -0.14511988E-02  0.45717166E-04 -0.15332356E-03  0.72762605E-05 -0.22842161E-04 -0.15839026E-04  0.24526965E-04  0.11535363E-03
      5     40  0.37581437E-04  0.53230326E-04  0.12780338E-02  0.10265104E-02 -0.14559081E-02  0.38173553E-04 -0.14649878E-03  0.73133442E-05 -0.21844347E-04 -0.15138700E-04  0.23448052E-04  0.11059930E-03
      5     50  0.41035830E-04  0.52522672E-04  0.12838089E-02  0.10304092E-02 -0.14607664E-02  0.35929118E-04 -0.14040883E-03  0.70849110E-05 -0.20967425E-04 -0.14524009E-04  0.22498983E-04  0.10608138E-03
      6     10  0.42301102E-04  0.51631232E-04  0.12839601E-02  0.10277191E-02 -0.14787374E-02  0.34836196E-04 -0.13918689E-03  0.94376244E-05 -0.20809076E-04 -0.14396673E-04  0.22579209E-04  0.10775790E-03
      6     20  0.43341098E-04  0.51542712E-04  0.12757803E-02  0.10204358E-02 -0.14686918E-02  0.33549098E-04 -0.13688595E-03  0.93546311E-05 -0.20511536E-04 -0.14191042E-04  0.22256316E-04  0.10605568E-03
      6     30  0.33146609E-04  0.52350661E-04  0.12921127E-02  0.10255300E-02 -0.14789802E-02  0.38223876E-04 -0.13264546E-03  0.92909219E-05 -0.19810657E-04 -0.13696061E-04  0.21491395E-04  0.10302769E-03
      6     40  0.25282658E-04  0.52138622E-04  0.13105228E-02  0.10360901E-02 -0.14956094E-02  0.43179359E-04 -0.12777182E-03  0.92979390E-05 -0.19112765E-04 -0.13203750E-04  0.20725506E-04  0.99614730E-04
      6     50  0.27494335E-04  0.51231612E-04  0.13136626E-02  0.10375495E-02 -0.14988104E-02  0.41448748E-04 -0.12332420E-03  0.91763761E-05 -0.18459114E-04 -0.12745371E-04  0.20011064E-04  0.96359020E-04
      7     10  0.28894057E-04  0.50533239E-04  0.13140276E-02  0.10348625E-02 -0.15172556E-02  0.40421366E-04 -0.12235471E-03  0.11229477E-04 -0.18340120E-04 -0.12644618E-04  0.20101994E-04  0.97925439E-04
