TITLE="Integrated loads convergence history"
VARIABLES="R-time", "P-Time", "Fn_x", "Fn_y", "Fn_z", "Mn_x", "Mn_y", "Mn_z", "Ft_x", "Ft_y", "Ft_z", "Mt_x", "Mt_y", "Mt_z"
ZONE T="WALL"
      1     10 -0.48408876E-04 -0.36224807E-02  0.85867939E-02 -0.33039018E-03  0.30658931E-02  0.12709745E-02 -0.12922336E-03 -0.19063014E-02 -0.26264611E-03  0.50352811E-08 -0.86735408E-04  0.62409303E-03
      1     10 -0.48408908E-04 -0.36224803E-02  0.85867946E-02 -0.33039019E-03  0.30658934E-02  0.12709744E-02 -0.12922337E-03 -0.19063012E-02 -0.26264601E-03  0.50186714E-08 -0.86735351E-04  0.62409294E-03
      1     20 -0.24620028E-04 -0.36273382E-02  0.86418348E-02 -0.33266867E-03  0.30788800E-02  0.12715184E-02 -0.93791993E-04 -0.13996799E-02 -0.19177101E-03 -0.23067607E-06 -0.63157370E-04  0.45889633E-03
      1     10 -0.48407077E-04 -0.36224810E-02  0.85867947E-02 -0.33039024E-03  0.30658934E-02  0.12709747E-02 -0.12922316E-03 -0.19063013E-02 -0.26264554E-03  0.49688744E-08 -0.86735144E-04  0.62409302E-03
      1     20 -0.24620435E-04 -0.36273400E-02  0.86418386E-02 -0.33266900E-03  0.30788809E-02  0.12715187E-02 -0.93790452E-04 -0.13996719E-02 -0.19176848E-03 -0.23086116E-06 -0.63156411E-04  0.45889407E-03
      1     30 -0.20944119E-04 -0.36075322E-02  0.86475619E-02 -0.33292788E-03  0.30800965E-02  0.12641499E-02 -0.72678310E-04 -0.10997698E-02 -0.14986883E-03 -0.32532013E-06 -0.49233348E-04  0.36117797E-03
      1     40 -0.18181521E-04 -0.35643280E-02  0.86421611E-02 -0.33276262E-03  0.30782200E-02  0.12482406E-02 -0.59096290E-04 -0.91080157E-03 -0.12329900E-03 -0.36789999E-06 -0.40437801E-04  0.29953862E-03
      1     50 -0.14987108E-04 -0.34861018E-02  0.86262248E-02 -0.33222776E-03  0.30725020E-02  0.12192000E-02 -0.49805646E-04 -0.78486443E-03 -0.10557957E-03 -0.38306573E-06 -0.34591129E-04  0.25838723E-03
      1     60 -0.11811260E-04 -0.33557897E-02  0.85835431E-02 -0.33065168E-03  0.30570144E-02  0.11708124E-02 -0.43216021E-04 -0.69608932E-03 -0.93250764E-04 -0.37637092E-06 -0.30531614E-04  0.22931782E-03
